" ","OCEANIA","Antarctica","Samoa, American","Australia","Cocos (Keeling) Islands","Cook Islands","Christmas Island","Fiji","Micronesia, Federated States of","Guam","Kiribati","Marshall Islands","Northern Mariana Islands","New Caledonia","Norfolk Island","Nauru","Niue","New Zealand","French Polynesia","Papua New Guinea","Pitcairn","Palau","Solomon Islands","French Southern Territories","Tokelau","Tonga","Tuvalu","Vanuatu","Wallis and Futuna","Samoa","ASIA","Afghanistan","Armenia","Azerbaijan","Bangladesh","Brunei Darussalam","Bhutan","China, People's Republic of","Georgia","Hong Kong (Special Administrative Region)","Indonesia","India","Japan","Kyrgyzstan","Cambodia","Korea, Democratic People's Republic of","Korea, Republic of","Kazakhstan","Laos","Sri Lanka","Burma (Myanmar)","Mongolia","Macau (Special Administrative Region)","Maldives","Malaysia","Nepal","Philippines","Pakistan","Singapore","Thailand","Tajikistan","Timor-Leste","Turkmenistan","Taiwan","Uzbekistan","Viet Nam","EUROPE","Andorra","Albania","Austria","Bosnia and Herzegovina","Belgium","Bulgaria","Belarus","Switzerland","Czechoslovakia","Cyprus","Czechia","Germany, Democratic Republic of","Germany","Denmark","Estonia","Spain","Finland","Faeroe Islands","France","United Kingdom","Gibraltar","Greenland","Greece","Croatia","Hungary","Ireland","Iceland","Italy","Kosovo","Liechtenstein","Lithuania","Luxembourg","Latvia","Monaco","Moldova","Montenegro","North Macedonia","Malta","Netherlands","Norway","Poland","Portugal","Romania","Serbia","Russia","Sweden","Slovenia","Slovakia","San Marino","Union of Soviet Socialist Republics","Ukraine","Vatican City State","Yugoslavia/Serbia and Montenegro","AMERICAS","Antigua and Barbuda","Anguilla","Netherlands Antilles","Argentina","Aruba","Barbados","Bermuda","Bolivia","Brazil","Bahamas","Belize","Canada","Chile","Colombia","Costa Rica","Cuba","Curacao","Dominica","Dominican Republic","Ecuador","Falkland Islands","Grenada","French Guiana","Guadeloupe","South Georgia and the South Sandwich Islands","Guatemala","Guyana","Honduras","Haiti","Jamaica","St Kitts and Nevis","Cayman Islands","St Lucia","Martinique","Montserrat","Mexico","Nicaragua","Panama","Peru","St Pierre and Miquelon","Puerto Rico","Paraguay","Suriname","El Salvador","St Maarten (Dutch Part)","Turks and Caicos Islands","Trinidad and Tobago","United States Minor Outlying Islands","United States of America","Uruguay","St Vincent and the Grenadines","Venezuela","Virgin Islands, British","Virgin Islands, United States","AFRICA AND THE MIDDLE EAST","United Arab Emirates","Angola","Burkina Faso","Bahrain","Burundi","Benin","Botswana","Congo, the Democratic Republic of the","Central African Republic","Congo","Cote d'Ivoire","Cameroon","Cabo Verde","Djibouti","Algeria","Egypt","Western Sahara","Eritrea","Ethiopia","Gabon","Ghana","Gambia","Guinea","Equatorial Guinea","Guinea-Bissau","Israel","British Indian Ocean Territory","Iraq","Iran","Jordan","Kenya","Comoros","Kuwait","Lebanon","Liberia","Lesotho","Libya","Morocco","Madagascar","Mali","Mauritania","Mauritius","Malawi","Mozambique","Namibia","Niger","Nigeria","Oman","Gaza Strip/Palestine/West Bank","Qatar","Reunion","Rwanda","Saudi Arabia","Seychelles","Sudan","St Helena","Sierra Leone","Senegal","Somalia","South Sudan","Sao Tome and Principe","Syria","Eswatini","Chad","Togo","Tunisia","Turkey","Tanzania","Uganda","Yemen, Democratic","Yemen","Mayotte","South Africa","Zambia","Zimbabwe","NOT STATED","TOTAL ALL COUNTRIES OF MAIN DESTINATION"
"2019M01",158030,92,58,118751,0,7158,0,14251,1,21,200,5,2,874,72,49,596,0,532,308,0,2,97,0,47,4319,58,1205,3,9329,84286,59,4,5,170,57,9,19520,5,2781,5018,15510,6650,1,1419,1,3448,25,170,2011,315,13,80,80,3458,383,7979,703,2943,5443,3,16,2,2723,8,3274,26448,0,13,570,2,127,33,9,534,0,26,206,0,2016,167,15,758,174,5,1782,14976,4,0,77,48,109,1334,65,1196,4,0,12,12,14,2,2,0,19,20,719,172,132,164,93,63,369,299,29,43,0,0,34,0,0,28488,12,3,0,771,5,28,2,41,811,26,7,4769,576,364,106,124,0,3,15,92,2,4,0,4,0,61,3,1,0,18,3,18,2,2,0,821,5,39,428,0,11,7,4,8,1,2,15,0,19141,95,11,14,13,0,7352,905,4,4,26,1,3,46,0,0,5,1,2,0,3,4,228,0,11,43,14,53,15,14,0,0,248,0,82,244,71,143,3,39,44,0,0,5,104,20,16,4,117,9,13,62,1,59,104,6,86,5,9,198,16,30,2,1,3,11,3,0,1,4,2,0,7,172,87,45,0,7,0,3526,65,296,16341,320945
"2019M02",97214,69,43,78737,0,4005,0,6608,4,7,100,5,4,226,65,57,348,0,305,344,0,6,102,0,29,1690,80,477,0,3903,57400,64,7,14,213,54,1,17191,0,1614,2726,12335,4033,0,581,0,1537,18,88,832,173,14,64,78,3067,234,3781,493,1929,2757,0,19,0,1521,6,1956,7319,2,2,250,7,72,11,3,224,0,14,56,0,849,57,5,212,48,0,495,3367,1,1,33,7,40,231,23,437,3,2,5,2,7,2,1,3,5,6,333,92,39,49,30,16,150,91,3,5,0,0,28,0,0,13630,18,0,0,419,1,15,4,6,354,22,1,2095,348,174,32,46,1,1,6,31,7,0,0,0,0,20,0,2,0,7,6,20,6,0,0,327,3,39,133,0,5,2,1,3,2,1,3,0,9427,38,1,0,3,0,3488,578,5,4,13,3,0,16,3,0,4,0,2,0,2,2,105,0,16,135,7,59,2,10,1,0,58,0,71,119,57,88,1,48,21,1,0,8,31,4,12,1,48,12,3,11,1,18,114,4,49,1,3,218,6,33,0,1,1,24,2,0,4,0,3,1,3,83,57,39,0,2,0,1165,21,74,11546,190597
"2019M03",118936,91,68,96856,0,5597,0,8569,8,5,61,1,1,527,58,55,528,0,336,381,0,12,142,0,18,1345,47,589,6,3635,41376,23,5,6,182,29,8,9362,5,1713,2903,9288,2983,1,408,2,1190,24,67,615,119,18,41,77,1529,245,2548,331,1992,2723,0,12,0,1187,3,1737,7261,6,0,318,3,49,12,5,229,0,12,60,0,680,66,0,328,70,1,481,3411,1,1,21,17,17,353,21,373,5,0,4,2,2,2,0,1,2,15,251,68,70,57,27,19,94,83,3,6,0,0,15,0,0,14841,11,0,0,520,1,11,4,15,378,11,5,1558,457,87,27,36,1,3,7,38,6,4,0,16,3,12,3,1,0,26,0,6,0,0,0,262,1,19,96,0,4,1,1,1,4,0,4,1,11134,64,0,0,2,0,2921,582,3,4,10,2,0,14,2,0,2,2,1,0,2,6,129,0,5,67,5,30,4,12,1,0,183,2,45,68,33,48,3,15,10,0,1,3,38,1,11,1,31,8,4,14,0,15,45,5,54,0,3,70,9,7,0,1,2,11,1,0,2,5,0,0,6,69,29,14,0,0,0,1118,17,36,9654,194989
"2019M04",145062,11,50,110539,0,8056,0,14382,12,21,48,6,6,2125,99,46,563,0,647,345,5,5,139,0,10,1643,18,958,0,5328,51113,55,10,7,78,17,42,11526,5,2492,4711,5402,5708,4,574,2,1691,25,84,884,61,9,77,132,1984,332,3105,321,2623,4384,0,24,0,1356,12,3376,12852,5,4,368,2,99,29,7,218,0,17,84,0,1000,93,8,754,55,1,981,5820,1,4,238,88,79,446,39,1170,15,2,7,14,5,3,2,4,7,9,475,121,105,116,66,29,114,105,16,7,0,0,20,0,0,19890,9,13,0,733,0,8,7,14,449,16,4,1547,471,83,68,62,0,2,10,70,3,5,0,3,0,9,7,5,0,19,0,10,0,0,3,352,9,13,261,0,4,0,1,0,1,3,6,0,15553,50,4,1,0,2,4073,628,2,1,27,3,3,53,6,0,3,2,1,1,0,8,164,0,0,39,11,31,6,7,2,0,205,1,70,158,55,65,4,14,32,2,0,1,80,5,14,1,28,10,2,30,0,17,43,4,46,1,6,102,14,22,0,0,0,5,1,0,3,2,3,0,2,213,32,29,0,1,0,1655,36,61,10312,243302
"2019M05",130481,1,54,95500,0,8214,0,15446,10,14,59,7,12,1341,179,46,603,0,441,361,2,3,121,0,31,2097,26,1097,1,4815,47876,57,7,13,63,21,52,10444,11,1571,5416,5366,4546,5,481,3,1739,14,61,730,103,21,43,126,2082,541,4337,184,2151,3967,4,15,2,1242,14,2444,19412,4,9,326,14,138,16,2,380,0,38,91,0,1484,189,42,1097,43,1,1249,8961,1,1,395,194,86,748,36,2021,1,0,6,4,7,2,1,3,13,27,777,141,97,201,67,42,199,157,24,32,0,0,45,0,0,22646,6,0,0,545,1,18,10,27,467,16,9,1851,370,114,70,115,0,2,3,82,1,2,1,0,1,2,8,3,0,5,5,12,1,3,0,404,3,14,313,0,3,5,1,2,2,6,6,0,18081,47,4,2,3,0,4069,373,2,7,6,0,0,50,4,0,4,2,0,0,2,2,171,1,4,54,2,22,9,6,0,0,357,0,65,184,51,54,3,19,17,1,0,0,114,12,16,0,56,10,7,54,1,22,38,3,43,0,5,73,10,15,0,0,0,7,2,0,0,3,2,1,5,231,33,30,0,2,0,1672,18,112,10685,235169
"2019M06",145209,0,81,100397,0,10677,4,21362,33,5,66,8,1,735,40,43,826,0,690,332,2,9,130,0,28,2037,23,2568,3,5109,44504,29,8,9,94,25,9,10286,18,1344,7387,4147,3752,13,384,2,1741,27,50,543,49,76,22,118,1616,235,3425,122,2346,3836,0,25,0,1038,18,1710,30249,2,14,463,13,135,37,15,400,0,35,337,0,1916,246,12,1582,81,0,2656,13524,0,1,839,664,110,979,53,3170,13,0,14,16,12,12,10,11,26,30,1077,239,222,362,122,47,384,247,36,33,0,0,52,0,0,23785,12,0,0,694,2,16,10,18,393,17,4,2797,232,98,44,41,1,0,11,87,10,6,0,0,0,18,3,0,0,4,1,8,0,0,0,466,2,11,286,0,5,2,1,2,1,5,4,0,18422,42,4,3,2,0,3265,304,3,2,10,0,5,80,4,1,2,1,1,0,2,5,125,0,1,41,10,21,2,6,1,0,223,1,39,107,45,89,2,15,15,0,1,4,100,18,26,0,31,4,7,72,3,23,28,7,39,4,18,89,4,9,0,0,2,9,0,0,3,3,2,0,5,259,112,34,0,2,0,1126,8,50,10298,257310
"2019M07",178712,0,87,116547,0,13447,1,28044,13,20,65,8,4,2811,24,45,966,0,1522,383,4,6,182,0,23,4328,27,2598,2,7555,61949,58,3,4,90,47,7,14201,36,1467,13532,3910,4468,4,633,2,1918,53,58,861,65,84,85,131,2270,192,3843,153,2945,5769,2,42,0,1228,21,3767,46982,2,29,553,13,313,88,15,680,0,55,395,0,2760,460,53,2238,201,2,4140,20969,5,2,1609,1432,235,1606,100,4325,11,1,25,8,33,4,5,14,51,66,1382,446,381,602,162,95,615,584,67,70,0,0,80,0,0,33251,20,2,1,485,3,15,15,25,551,22,11,5417,339,197,67,50,0,2,9,132,3,4,0,0,0,38,2,1,1,15,0,19,9,0,0,432,6,17,363,0,1,7,0,1,1,8,19,1,24901,32,3,0,2,2,4835,391,6,6,14,0,1,121,5,0,4,1,0,0,2,1,153,0,1,22,13,39,10,14,1,0,307,0,58,139,52,189,3,25,45,2,0,7,136,17,55,1,60,28,8,138,0,13,79,3,54,7,13,89,2,8,0,2,3,7,8,0,7,16,2,1,5,477,243,59,0,2,0,1542,32,86,14521,340250
"2019M08",158391,0,57,108034,0,12005,2,22373,16,5,103,14,6,1999,68,55,813,0,620,394,2,16,125,0,33,2471,65,2285,0,6830,45897,85,25,15,106,29,1,8893,13,898,11322,3740,2736,16,501,3,1220,45,62,902,77,89,21,199,1756,114,2934,154,2073,4731,9,19,0,813,12,2284,34625,0,25,459,20,251,72,40,508,0,42,449,0,2440,332,65,1244,178,6,2567,16182,0,17,876,893,259,1529,65,2245,24,4,30,5,40,2,17,13,59,50,995,327,266,302,170,76,756,517,41,58,0,0,108,1,0,26289,4,4,0,497,3,9,4,12,480,18,3,4234,248,195,40,31,3,4,13,84,1,4,1,0,0,19,10,3,3,9,0,11,0,2,0,451,8,11,252,0,2,8,1,2,0,0,7,0,19548,43,6,0,1,0,4063,330,12,2,10,4,0,48,3,0,1,1,0,0,0,7,134,0,7,26,16,42,7,10,0,0,112,0,79,111,68,118,2,18,32,1,1,0,73,19,36,0,30,23,13,68,0,34,30,7,31,3,19,482,5,8,1,0,2,12,2,0,10,7,3,0,13,287,158,33,0,1,0,1302,36,113,15255,284520
"2019M09",152696,0,42,107825,0,12055,3,19342,9,15,77,11,6,1327,65,34,804,0,847,359,1,6,134,0,58,2232,34,1558,2,5850,47667,60,10,9,109,15,9,9331,22,1181,11130,3867,4496,22,321,9,1604,36,59,1051,76,69,34,140,1743,122,2342,197,2910,3568,1,64,3,811,32,2214,36781,0,22,547,27,179,96,18,658,0,57,311,0,2344,203,29,1651,117,5,3158,16022,0,12,1294,1177,206,1213,86,3463,23,1,24,13,36,6,6,12,44,56,1114,273,242,463,143,140,697,343,80,78,0,0,91,1,0,27978,1,1,0,500,2,10,10,14,387,3,1,4215,318,154,24,15,0,2,6,55,8,1,0,0,0,10,2,2,0,15,1,9,0,0,0,385,6,20,296,0,0,6,0,7,2,3,7,1,21438,38,2,0,1,0,4011,439,10,6,2,3,1,71,4,0,0,0,0,0,0,12,166,0,1,31,10,24,2,4,1,2,204,0,67,142,73,106,1,11,38,1,1,1,144,27,40,0,46,6,15,103,0,9,24,9,22,2,12,77,9,14,0,0,2,9,1,0,11,3,3,0,15,457,86,28,0,0,0,1288,26,89,10621,279754
"2019M10",184251,3,66,138187,0,11743,4,18927,9,3,70,15,2,1391,122,42,813,0,703,358,0,14,154,0,28,2751,44,1694,5,7103,60350,54,16,6,84,30,25,13888,33,1410,10470,5202,8694,16,440,2,2755,32,56,679,122,37,50,142,1745,351,2717,204,2816,4504,2,25,0,1175,46,2522,34595,2,23,520,21,205,83,8,571,0,69,233,0,2550,167,18,2081,107,0,2874,14498,0,0,1166,837,130,990,67,4185,5,0,14,14,26,8,7,12,25,37,1107,164,197,520,144,147,434,188,47,42,0,0,52,0,0,28683,2,2,0,639,1,5,12,19,514,20,1,3304,652,115,26,36,2,0,8,70,11,2,0,0,0,9,6,1,0,8,2,10,3,0,0,436,2,19,324,0,5,6,1,0,0,5,8,1,22355,36,4,1,0,0,5630,579,2,4,13,0,1,28,4,0,2,4,1,1,1,3,343,0,4,74,9,34,9,6,0,1,486,0,84,159,109,94,1,10,30,1,0,6,216,19,44,0,42,9,8,60,1,20,68,5,91,0,7,70,13,23,0,5,7,8,0,0,7,3,3,0,7,577,150,37,0,2,0,1890,33,102,12900,326409
